id,name
717,Brace Yourself Games
718,Sixense
719,Rising Star Games
720,Positech
721,Songquito UG
722,Filament Classic
723,GalaxyTrail
724,Pixeljam
725,North of Earth
726,Libredia Entertainment
727,Black Maple Games
728,Three Gates
729,Saibot Studios
730,Biart Company LLC
731,Team Reptile
732,KillHouse Games
733,Flyleap Studios Pty. Ltd.
734,Hitcents
735,Forever Entertainment S. A.
736,Ubisoft - San Francisco
737,Dischan Media
738,Blue Bottle Games
739,Nekki GmbH
740,Relic Entertainment
741,Realmforge Studios
742,The Sims Studio
743,Screwfly Studios
744,Silk Games
745,Rain Games
746,Evolutionary Games
747,Priority Interrupt
748,Ubisoft Toronto
749,Sony Online Entertainment
750,Dark Vale Games
751,EZDesigner
752,BetaDwarf
753,Infinite Monkeys Entertainment Ltd.
754,Witch Beam
755,Necrophone Games
756,Step 1 Games LLC
757,Archive Entertainment
758,sparsevector
759,Stygian Software
760,Onipunks Studio Inc.
761,Digerati
762,Krillbite Studio
763,Escape Hatch Entertainment
764,Yacht Club Games
765,Koch Media
766,Loiste Interactive
767,Behold Studios
768,9heads Game Studios
769,BlueLine Games
770,Nocturnal works
771,MagicalTimeBean
772,Red Wasp Design Ltd
773,Kiz Studios
774,Matt Makes Games Inc.
775,Ivy Games
776,International Games System
777,The Fun Pimps Entertainment LLC
778,Disastercake
779,FlukeDude
780,Ragtag Studio
781,Wales Interactive
782,MangaGamer
783,Vertigo Games
784,Firebrand Games
785,Playnet
786,JoyMasher
787,GameCask
788,8888888 LABS
789,Candescent Games
790,Asteroid Base
791,Spicyhorse Games
792,KOEI TECMO GAMES CO.
793,Machine Studios
794,Frima Studio
795,Studio Evil
796,Blue Isle Publishing
797,Midnight City
798,Completely Fair Games LLC
799,Image & Form Games
800,PD Design Studio
801,Facepunch Studios
802,Aerosoft GmbH
803,Rocketcat Games
804,Minor Key Games
805,BeautiFun Games
806,SmiteWorks USA
807,Jackbox Games
808,Crunching Koalas
809,Hailstorm Games
810,Leafy Games
811,Elefantopia
812,Flippfly LLC
813,Screen 7
814,Gears for Breakfast
815,(none)
816,Infinitap Games
817,Glass Bottom Games
818,Crescent Moon Games
819,DigitalDNA Games LLC
820,Privateer Press Interactive
821,Final Boss Entertainment
822,Spearhead Games
823,Expansive Worlds
824,Treasure
825,grapefrukt games
826,WayForward
827,Cherry Pop Games
828,Mighty Rocket Studio
829,Robot Loves Kitty
830,Double Fine Presents
831,Full Control
832,GameTomo Co.
833,KISS ltd
834,Poppermost Productions
835,Xiotex Studios Ltd
836,Fantasy Flight Publishing
837,CBE software
838,Lightmare Studios
839,2Play
840,Vector Unit
841,Heart Machine
842,ONE MORE LEVEL
843,Winter Wolves
844,Awesome Games Studio
845,Triple.B.Titles
846,Endless Loop Studios
847,Fruitbat Factory
848,Lukewarm Media
849,Ohm Force
850,The Astronauts
851,Cartoon Network Games
852,Cherry Credits
853,ARTE France
854,PolyPusher Studios
855,WB Games
856,Studio Bean
857,Exato Games Studio
858,Modern Dream
859,OVERKILL - a Starbreeze Studio.
860,Arachnid Games
861,Naiad Entertainment LLC
862,Celsius Game Studios
863,SeeThrough Studios
864,Agharta Studio
865,Studio V5
866,Lonely Troops
867,Flix Interactive
868,LookAtMyGame
869,"""Phr00ts Software"""
870,FUN Creators
871,Iteration 11
872,Netcore Games
873,Sakura River Interactive
874,Ackk Studios
875,Aardman Animations
876,Spawn Digital
877,Eutechnyx
878,Viva Media Inc
879,Edge of Reality
880,Sixteen Tons Entertainment
881,Spicy Horse Games
882,Spicyhorse
883,Big Finish Games
884,Serenity Forge
885,Xtal Sword
886,Sumom Games
887,Xaviant Games
888,DolphinBarn
889,Kitty Lambda Games Inc.
890,Doppler Interactive
891,Pinkerton Road Studio
892,Red Hook Studios
893,Effat Effati
894,Signal Studios
895,eigoMANGA
896,New Gravity Laws
897,Toco Games
898,"""Rockin Android"""
899,Rake in Grass
900,Gamesbymo Inc.
901,Coilworks
902,Noble Empire Corp.
903,Phantom Compass
904,Hörberg Productions
905,Niffler Ltd.
906,Darkmire Entertainment
907,Milkstone Studios
908,Nine Dots Studio
909,Stirfire Studios
910,Avidly Wild Games
911,HeroLabs
912,10tons Ltd
913,Excalibur Publishing
914,Heydeck Games
915,Mindware Co.
916,Artnumeris
917,Breakfall
918,North Side
919,IndieGala
920,Space Budgie
921,ovos
922,Unbound Creations
923,The Dept of Silly Stuff
924,Sweet Dog Studios
925,H2 Interactive Co.
926,Critical Depth
927,Jason Oda
928,Instant Kingdom
929,South East Games
930,Popcannibal
931,Strike Games
932,Versus Evil\t
933,Mad Otter Games
934,Ultra Runaway Games
935,MadAboutGamesStudios
936,Semaphore
